Codice_Ponte,Numero_Zucchetta,Nome_Ponte,Segmento,Nome_Rio,Isola_Nord,Isola_Sud,Sestiere_Nord,Sestiere_Sud
CORRER,216,Ponte Correr,MADA,Rio de la Madalena,17,16,CN,CN
MADA_P1,217,Ponte Privato v‡ al civico 2205,MADA,Rio de la Madalena,17,16,CN,CN
ANTONIO,218,Ponte S. Antonio,MADA,Rio de la Madalena,16,17,CN,CN
FOSCA,219,Ponte S.Fosca,FOSC3,Rio de S. Fosca,14,17,CN,CN
VENDRA,220,Ponte Vendramin,FOSC3,Rio de S. Fosca,14,17,CN,CN
DIEDO,221,Ponte Diedo,GRIM2,Rio Grimani,12,14,CN,CN
MORO,222,Ponte Moro,GRIM1,Rio Grimani,12,13,CN,CN
ZANCAN,223,Ponte Zancan,TRAP,Rio del Trapolin,13,14,CN,CN
STORT4,224,Ponte Storto,MARC,Rio de S. Marcuola,16,15,CN,CN
ANCONE,225,Ponte de l'Anconeta,MARC,Rio de S. Marcuola,15,16,CN,CN
MARZIA,226,Ponte S. Marziale,MISE6,Rio de la Misericordia,9,13,CN,CN
MISE5_P1,227,Ponte Privato v‡ al civico 2601,MISE5,Rio de la Misericordia,9,12,CN,CN
ASEO,228,Ponte de l'Aseo,MISE3,Rio de la Misericordia,8,15,CN,CN
LORED2,229,Ponte Loredan,MISE2,Rio de la Misericordia,8,15,CN,CN
ORMESI,230,Ponte dei Ormesini,MISE2,Rio de la Misericordia,8,15,CN,CN
GHETON,231,Ponte del Gheto Novo,MISE1,Rio de la Misericordia,8,11,CN,CN
GIROLA,232,Ponte S. Girolamo,GIRO2,Rio de S. Girolamo,7,10,CN,CN
CAPUZI,233,Ponte de le Capuccine,GIRO2,Rio de S. Girolamo,7,10,CN,CN
MORO2,234,Ponte Moro,GIRO1,Rio de Ca'Moro,15,7,CN,CN
NOV3,235,Ponte Novo,BATE,Rio del Batelo,15,10,CN,CN
BATELO,236,Ponte del Batelo,BATE,Rio del Batelo,10,15,CN,CN
BATE_P1,237,Ponte Privato v‡ al civico 1104,BATE,Rio del Batelo,10,15,CN,CN
GHETOV,238,Ponte del Gheto Vechio,GHET2,Rio del Ghetto Nuovo,11,15,CN,CN
GHETONS,239,Ponte del Gheto Novissimo,GHET2,Rio del Ghetto Nuovo,11,15,CN,CN
TORETE,240,Ponte de le Torete,TRTE,Rio de le Torete,7,8,CN,CN
LUSTRA,241,Ponte dei Lustraferi,LUST,Rio dei Lustraferi,8,9,CN,CN
ABAZIA2,242,Ponte de l'Abazia,SENS6,Rio de la Sensa,6,9,CN,CN
VECIA,243,Ponte Corte Vechia,SENS6,Rio de la Sensa,6,9,CN,CN
MORI,244,Ponte dei Mori,SENS5,Rio de la Sensa,5,9,CN,CN
FORNO2,245,Ponte del Forno,SENS3,Rio de la Sensa,4,8,CN,CN
MALVAS,246,Ponte de la Malvasia,SENS2,Rio de la Sensa,3,8,CN,CN
TURLON,247,Ponte Turlona,SENS2,Rio de la Sensa,3,8,CN,CN
SENSA,248,Ponte Contarini o de la Sensa,SENS1,Rio de la Sensa,3,7,CN,CN
TRASTI,249,Ponte dei Trasti,SENS3,Rio dei Trasti,3,4,CN,CN
BRAZZO,250,Ponte Brazzo,SENS5,Rio Brazzo,4,5,CN,CN
MUTI,251,Ponte dei Muti,MUTI,Rio dei Muti,5,6,CN,CN
SACCAM,252,Ponte de la Sacca de la Misericordia,ORTO3,Rio de la Madona de l'Orto,2,6,CN,CN
ORTO,253,Ponte de la Madona de l'Orto,ORTO2,Rio de la Madona de l'Orto,2,5,CN,CN
LOREDA,254,Ponte Loredan,ORTO1,Rio de la Madona de l'Orto,2,4,CN,CN
ALVISE,255,Ponte S. Alvise,ALVI,Rio de S. Alvise,1,3,CN,CN
BONAVE,256,Ponte de San Bonaventura,ALVI,Rio de S. Alvise,1,3,CN,CN
CAVBON,257,Ponte sulla Cavana (S.Bonaventura),ALVI,Rio de S. Alvise,1,1,CN,CN
GUGLIE,258,Ponte de le Guglie,CANN4,Canal de Cannaregio,15,20,CN,CN
3ARCHI,259,Ponte dei Tre Archi,CANN2,Canal de Cannaregio,15,123,CN,CN
SAPONE,260,Ponte de le Saponete,CANN2,Canal de Cannaregio,19,123,CN,CN
GIOB_P1,261,Ponte Privato v‡ al civico 621,GIOB,Rio de S. Giobbe,19,123,CN,CN
ENEL_P1,262,Ponte Privato-Passerella Enel,GIOB,Rio de S. Giobbe,19,123,CN,CN
ENEL_P2,263,Ponte Privato-Passerella Enel,GIOB,Rio de S. Giobbe,19,123,CN,CN
PRIULC,266,Ponte Priuli ai Cavalletti,CREA2,Rio de la Crea,123,0,CN,CN
X1_P1,272,"Ponte Privato, va alla Manifattura",,Rio de Sant'Andrea de la Zirada,0,0,SC,SC
COSSET,273,Ponte Cossetti,,Rio de Sant'Andrea de la Zirada,0,0,SC,SC
3PONTI1,274,Ponte dei Tre Ponti,NUOV1,Rio Novo,0,0,SC,SC
TABACC,278,Ponte della Manifattura Tabacc,BURC,Rio de le Burchiele,0,0,SC,SC
CAZZIOL,280,Ponte de la Cazziola,CAZZ,Rio de la Cazziola e de Ca' Rizzi,0,0,SC,SC
RIZZI2,281,Ponte de Ca' Rizzi,SMAR1,Rio de S. Maria Maggior,0,0,SC,SC
CHIARA,282,Ponte Secondo S. Chiara,NUOV1,Rio Novo,0,0,SC,SC
PAPADO,283,Ponte Papadopoli,NOVO1,Rio Novo,0,0,SC,SC
CROZE,284,Ponte de la Croze,TOLE,Rio dei Tolentini e de la Crose,0,0,SC,SC
TOLENT,285,Ponte dei Tolentini,TOLE,Rio dei Tolentini e de la Crose,0,0,SC,SC
PANTAL,286,Ponte de S. Pantalon,PANT,Rio de S. Pantalon,0,0,SC,SC
VINANT,287,Ponte Vinante,PANT,Rio de S. Pantalon,0,0,SC,SC
SECHER,288,Ponte de le Sechere,ZUAN,Rio de le Muneghete,0,0,SP,SP
ZUAN_P1,289,Ponte va al Civico 197/A,ZUAN,Rio de le Muneghete,0,0,SP,SP
CANAL2,290,Ponte Canal,AVOG,Rio dei Ognisanti,0,0,DD,DD
