"id","polygon"
"3053","LINESTRING (12.419489212541672 45.48414243149335, 12.419708391017933 45.483937588149445)"
"3054","LINESTRING (12.405266801302966 45.48409712550391, 12.405534890412588 45.48423176661687)"
"3055","LINESTRING (12.368279037362573 45.41188635526876, 12.368224179095321 45.411591413629594)"
"3056","LINESTRING (12.368542938332245 45.41100793835887, 12.368723168624056 45.4107681112505)"
"3057","LINESTRING (12.369041737309429 45.41013919722971, 12.369000642687142 45.40984202517177)"
"3058","LINESTRING (12.36816506047523 45.40887822113308, 12.367950169475526 45.408668884422866)"
"3059","LINESTRING (12.366574359195175 45.40701545069053, 12.366410174116266 45.40676436652165)"
"3060","LINESTRING (12.365817807815047 45.405325488003484, 12.365803143169119 45.405025846637585)"
"3061","LINESTRING (12.36407124168395 45.4051455615987, 12.363793511913622 45.405258990760174)"
"3062","LINESTRING (12.368477267798815 45.41580237428617, 12.368770037092803 45.415736905663934)"
"3063","LINESTRING (12.369964685486122 45.414609045795196, 12.369947136203836 45.41430955953059)"
"3064","LINESTRING (12.369750836080799 45.41315230428942, 12.369621852255476 45.41288144792009)"
"3065","LINESTRING (12.369024431081556 45.41235853522056, 12.368753694879757 45.412229299354664)"
"3066","LINESTRING (12.376886266392326 45.42107229954465, 12.377066903799658 45.420832778925345)"
"3067","LINESTRING (12.37664422841449 45.418595106084986, 12.376448822515352 45.418367473629964)"
"3068","LINESTRING (12.373907442070989 45.41779106339299, 12.373640879246613 45.41792870154416)"
"3069","LINESTRING (12.338440005949813 45.3730772829868, 12.338739990437567 45.37307423223169)"
"3070","LINESTRING (12.34062296323976 45.3729182200999, 12.340770126122393 45.372656794994036)"
"3071","LINESTRING (12.34066340854811 45.3721716413522, 12.340522903604846 45.371906578414546)"
"3072","LINESTRING (12.339048289713945 45.371244107378445, 12.338756845800182 45.3711729705727)"
"3073","LINESTRING (12.342098832062657 45.373240646757694, 12.342359649328966 45.373388884248214)"
"3074","LINESTRING (12.34273546056066 45.373359685560075, 12.343020166179267 45.373265119653254)"
"3075","LINESTRING (12.343317475430654 45.3731311012174, 12.34347606868941 45.37287644816269)"
"3076","LINESTRING (12.342801113077448 45.371598636682194, 12.342652609776048 45.37133797067085)"
"3077","LINESTRING (12.341773430578682 45.37006621539769, 12.341480288420884 45.37000243706813)"
"3078","LINESTRING (12.341110316977323 45.37000713844769, 12.34081750022719 45.370072394488346)"
"3079","LINESTRING (12.340584198762784 45.370219224144876, 12.340476576172794 45.37049925517552)"
"3080","LINESTRING (12.338145367416162 45.36866608212005, 12.338224272456289 45.368376644744025)"
"3081","LINESTRING (12.339308533443669 45.370052346418916, 12.339403485153417 45.36976776923639)"
"3082","LINESTRING (12.339978830833934 45.37807205119832, 12.340251852622918 45.377947716558175)"
"3083","LINESTRING (12.339766779966363 45.377117264028634, 12.34002942139932 45.37697228307233)"
"3084","LINESTRING (12.346629171754032 45.38527828891394, 12.346910796519015 45.38517490858821)"
"3085","LINESTRING (12.348866564063837 45.38805288788188, 12.349143661730562 45.38793792317818)"
"3086","LINESTRING (12.352049107523303 45.39153688971518, 12.352343781825507 45.39148061311594)"
"3087","LINESTRING (12.356290465610419 45.39617627173632, 12.356578117602615 45.39609108763344)"
"3088","LINESTRING (12.358074579822544 45.39558551756932, 12.357902858160665 45.39533952636858)"
"3089","LINESTRING (12.359108459677527 45.4015039942788, 12.359378324169375 45.40137294788991)"
"3090","LINESTRING (12.360717310617163 45.40368714512347, 12.36100091621073 45.403589329647716)"
"3091","LINESTRING (12.315884746486457 45.34543942407542, 12.315687592554337 45.345213303914775)"
"3092","LINESTRING (12.314993309328221 45.34414204682098, 12.315270571219125 45.34402747874579)"
"3093","LINESTRING (12.318256099860497 45.34585449132548, 12.318535719575875 45.34574580455181)"
"3094","LINESTRING (12.319808284862422 45.34497466908749, 12.31957660401272 45.34478408056768)"
"3095","LINESTRING (12.380260682935997 45.42714262647831, 12.380539482066524 45.4270318517302)"
"2185","LINESTRING (12.314968257889138 45.43741023654326, 12.315111751736605 45.437146779685804)"
"2186","LINESTRING (12.315606290630743 45.43685148976715, 12.31589326568167 45.43693892728854)"
"2187","LINESTRING (12.315458289622983 45.43659078830667, 12.315645212605455 45.43635614006222)"
"2188","LINESTRING (12.315840419879411 45.43607740415732, 12.315983292323427 45.43581360979661)"
"2189","LINESTRING (12.316131544463607 45.43534487009113, 12.316204590624581 45.43505389885824)"
"2190","LINESTRING (12.316707981720935 45.43638701987066, 12.31700091018389 45.436451772597174)"
"2191","LINESTRING (12.318808949128593 45.43684073087058, 12.319102608472805 45.436902083862)"
"2192","LINESTRING (12.319705486098918 45.43713587817469, 12.319409996207604 45.43718770214725)"
"2193","LINESTRING (12.319932889867632 45.437547169532465, 12.319898462637044 45.43784518759533)"
"2194","LINESTRING (12.319833325445666 45.438431856063, 12.319805061444937 45.43873052167243)"
"2195","LINESTRING (12.319137459277528 45.4394032465334, 12.318907023138593 45.43959533814143)"
"2196","LINESTRING (12.317813346034006 45.4399841076946, 12.317531101545876 45.43988243149818)"
"2197","LINESTRING (12.316526699143079 45.4393008258902, 12.31628650053388 45.43912109100728)"
"2198","LINESTRING (12.315349203029411 45.438347859240984, 12.31513083879859 45.43814214812631)"
"2199","LINESTRING (12.317793222933556 45.440688771483266, 12.317600570122949 45.44091873864302)"
"2200","LINESTRING (12.316176966075316 45.44179961886819, 12.315893452781667 45.44189770154925)"
"2201","LINESTRING (12.3201126536236 45.43904226660189, 12.32037207404904 45.439192935254454)"
"2202","LINESTRING (12.323337456245875 45.44108591537411, 12.323559494914155 45.440884175864376)"
"2203","LINESTRING (12.324208026878217 45.44026794552854, 12.324422995223138 45.44005868824508)"
"2204","LINESTRING (12.325346753460439 45.43935043638282, 12.325604314501001 45.439196610798525)"
"2205","LINESTRING (12.325966131903678 45.43877379860975, 12.325734212335865 45.43858350064847)"
"2206","LINESTRING (12.324769656867126 45.438646954829096, 12.324476888031317 45.43871242550023)"
"2207","LINESTRING (12.323486299643534 45.4387474754808, 12.323259015183233 45.43855166492413)"
"2208","LINESTRING (12.323018260327627 45.43816675082408, 12.32293445293199 45.43787869471768)"
