"!!ID","!!IDName","!ImageUrl","Dati Generali_Data fine","Dati Generali_Data inizio","Dati Generali_Descrizione","Dati Generali_Durata","Dati Generali_Famiglia","Dati Generali_Stato","Dati Generali_Zona","Intervento_Importo lavori effettivo","Intervento_Importo lavori effettivo (dl)","Intervento_Importo lavori previsto","Intervento_Tipologia intervento","Segnalazione_Tipologia elemento","Sopralluogo_Tipologia anomalia","Sopralluogo_Tipologia elemento"
"32258","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15703/360/220/","2011-10-10","2011-10-10","Murano - F.ta dei Vetrai",,"Venezia Nord 2011","risolto","Murano",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"3441","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5953/360/220/","2009-05-18","2009-05-18","Cannaregio, 3587-3588 - F.ta Misericordia",,"Venezia Nord","risolto","Cannaregio",,,,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"22363","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/23138/360/220/","2010-11-12","2010-10-20","San Polo, 1804-1812 Corte del Teatro Vecchio","23 giorni","Venezia Sud","risolto","San Polo",,,,"segnaletica e anagrafica","arredo, segnaletica","intervento migliorativo","elementi di arredo, segnaletica"
"6263","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/11994/360/220/","2010-01-27","2010-01-08","Piazzale Roma marciapiede antistante biglietteria Actv","19 giorni","Venezia Sud","risolto","Santa Croce",,,,"fognatura - reti fognarie","fognatura","malfunzionamento","caditoia"
"32259","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15738/360/220/","2011-10-10","2011-10-10","Castello - F.ta della tana civ. 1947A",,"Venezia Nord 2011","risolto","Castello",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"4003","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/6930/360/220/","2009-08-21","2009-08-20","San Marco, 548-548/A - Piscina San Giuliano","1 giorno","Venezia Nord","risolto","San Marco",,,,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"3440","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5950/360/220/","2009-05-18","2009-05-18","Cannaregio Calle dell'acquavita civ 5248",,"Venezia Nord","risolto","Cannaregio",,,,"pavimentazione",,"instabilita elemento","pavimentazione stradale"
"4000","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/7009/360/220/","2009-09-08","2009-08-20","Sacca Fisola, 3 - Campo della Chiesa","19 giorni","Venezia Sud","risolto","Giudecca",,,,,"pavimentazione","altro","pavimentazione stradale"
"32256","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15697/360/220/","2011-10-10","2011-10-10","Castello - Calle del Pestrin",,"Venezia Nord 2011","risolto","Castello",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"1671","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1058/360/220/","2008-10-29","2008-10-28","Campo San Polo 2120 (San Polo)",,"Venezia Sud","risolto","San Polo",,,"","pavimentazione",,"instabilita elemento","pavimentazione stradale"
"4001","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/6924/360/220/","2009-08-26","2009-08-20","San Marco Campo San Maurizio","6 giorni","Venezia Nord","risolto","San Marco",,,,"pavimentazione","pavimentazione","cedimento","pavimentazione stradale"
"32257","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15700/360/220/","2011-10-10","2011-10-10","Castello - Calle dietro Erizzo",,"Venezia Nord 2011","risolto","Castello",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"1670","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1054/360/220/","2008-10-29","2008-10-28","Campiello del Remer 2068 (San Polo)",,"Venezia Sud","risolto","San Polo",,,"","pavimentazione",,"cedimento","pavimentazione stradale"
"1662","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1014/360/220/","2008-10-29","2008-10-28","Santa Croce 517-516 Fondamenta S. Chiara","1 giorno","Venezia Sud","risolto","Santa Croce",,,,,"pavimentazione",,
"3435","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5878/360/220/","2009-05-18","2009-05-14","S.Marco, 3153 - Salizada San Samuele","4 giorni","Venezia Nord","risolto","San Marco",,,,"pavimentazione","pavimentazione","instabilita elemento","pavimentazione stradale"
"3432","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5814/360/220/","2009-05-27","2009-05-13","Murano - F.ta Radi 9/a","14 giorni","Venezia Nord","risolto","Murano",,,"","pavimentazione","altro","intervento migliorativo","pavimentazione stradale"
"1663","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1015/360/220/","2008-10-22","2008-10-22","CANNAREGIO F.TA DEL BATELO CIV. 2971/A ISPEZIONE 1",,"Venezia Nord","risolto","Cannaregio",,,,"pavimentazione",,"instabilita elemento","pavimentazione stradale"
"1664","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1018/360/220/","2008-10-29","2008-10-28","Santa Croce Fondamenta Santa Chiara","1 giorno","Venezia Sud","risolto","Santa Croce",,,,"fognatura - reti fognarie","fognatura","malfunzionamento","rete nera, mista o pluviale"
"3433","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5819/360/220/","2009-05-27","2009-05-15","S.Elena 1-5 - Calle Monte San Michele","12 giorni","Venezia Nord","risolto","Castello",,,,"pavimentazione","pavimentazione","intervento migliorativo","pavimentazione stradale"
"1665","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1022/360/220/","2008-10-22","2008-10-22","CANNAREGIO CIV. 2971/F/E 2970 ISPEZIONE 1",,"Venezia Nord","risolto","Cannaregio",,,,"pavimentazione",,"instabilita elemento","pavimentazione stradale"
"3438","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5890/360/220/","2009-06-05","2009-05-14","Giudecca - F.ta della Giudecca","22 giorni","Venezia Sud","risolto","Giudecca",,,,,"pavimentazione","lesione","pavimentazione stradale"
"32251","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15641/360/220/","2011-10-10","2011-10-10","Castello - Calle Pre Maurizio",,"Venezia Nord 2011","risolto","Castello",,,,"pavimentazione",,"cedimento","pavimentazione stradale"
"1666","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/1025/360/220/","2008-10-22","2008-10-22","CANNAREGIO RAMO DELLA VERNISE 2954D ISPEZIONE 1",,"Venezia Nord","risolto","Cannaregio",,,,"pavimentazione",,"instabilita elemento","pavimentazione stradale"
"3439","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/5893/360/220/","2009-05-08","2009-05-08","CANNAREGIO CAMPIELLO FLAMINIO CORNER",,"Venezia Nord","risolto","Cannaregio",,,,"pavimentazione",,"instabilita elemento","pavimentazione stradale"
"32250","Evento di manutenzione","maps.insula.it/common/objectimg/mimuv-eventi/15638/360/220/","2011-10-11","2011-10-07","Ispezione periodica del 06 - 07 - 2011","3 giorni","Venezia Sud","risolto","San Polo",,,,"altri interventi",,"altro","altro"
