"!!id","!!type","zoom","ID","ID del rio","superficie (m2)","Y","X","jobs","jobItems"
"II0435","intersezioni","50.0000000001271","II0435","PANA","78","5035244.87861507","2311956.01145721","[00157, 00232, 00180]","[00180SC0002, 00180SC0003, 00180SC0006]"
"II0440","intersezioni","50.0000000001856","II0440","BOLD","20","5035244.05875551","2311131.56155","[232/1, 00114, 00517]","[00114SC0001, 00114SC0002, 00114SC0007]"
"II0445","intersezioni","50.0000000001789","II0445","ORIO","1","5035241.95911516","2311035.41874531","[]","[]"
"II0450","intersezioni","64.2455281703317","II0450","GRAN","4","5035236.07013215","2311631.66645687","[]","[]"
"II0455","intersezioni","49.9999999998794","II0455","GRIS","1","5035221.09268937","2311788.53875632","[]","[]"
"II0460","intersezioni","65.8593947203063","II0460","GRAN","19","5035218.53813177","2310386.14756171","[]","[]"
"II0465","intersezioni","49.9999999999699","II0465","MUNE","1","5035212.77411427","2310684.98692197","[]","[]"
"II0470","intersezioni","49.9999999997314","II0470","CHIA","9","5035211.45434034","2310063.41078409","[]","[]"
"II0475","intersezioni","49.9999999998076","II0475","ORIO","92","5035210.00458866","2310987.49165202","[232/1, 00430, 00517, 00450]","[]"
"II0480","intersezioni","50.0000000000967","II0480","","71","5035206.15524802","2310876.88495854","[232/1, 00102, 00517]","[00102SC0008, 00102SC0009, 00102SC0019, 00102SC0022]"
"II0485","intersezioni","49.9999999996815","II0485","","36","5035193.77736822","2311183.43034165","[232/1, 00114, 00159, 00517, 00187, II509]","[00114SC0002, 00114SC0003, 00114SC0008, 00114SC0011]"
"II0490","intersezioni","50.0000000001742","II0490","2TOR","21","5035179.46981897","2311165.15669425","[232/1, 00114, 00159, 00517, 00187, II509]","[00114SC0008, 00114SC0009, 00114SC0010, 00114SC0012, 00187SC0007]"
"II0495","intersezioni","50.0000000003942","II0495","","58","5035177.63013408","2311857.32881351","[00103, 00232]","[00103SC0001, 00103SC0003, 00103SC0009, 00103SC0026, 00103SC0109]"
"II0500","intersezioni","49.9999999998611","II0500","CASS","1","5035175.26053997","2311248.36940907","[]","[]"
"II0505","intersezioni","49.9999999999517","II0505","","43","5035155.47392923","2311118.07071649","[232/1, 00102, 00517]","[00102SC0001, 00102SC0002, 00102SC0006, 00102SC0021]"
"II0510","intersezioni","49.9999999999464","II0510","MARI","42","5035150.40479752","2311948.62283448","[00103, 00232]","[00103SC0008, 00103SC0009, 00103SC0101]"
"II0515","intersezioni","50.0000000000207","II0515","MARI","58","5035143.13604258","2311967.21808489","[00103, 00232]","[00103SC0007, 00103SC0008, 00103SC0010, 00103SC0108]"
"II0525","intersezioni","49.9999999999823","II0525","GRAN","5","5035140.86643135","2311678.23717346","[]","[]"
"II0530","intersezioni","50.0000000000464","II0530","BECA","1","5035130.36822959","2311318.25621497","[]","[]"
"II0535","intersezioni","50.0000000001754","II0535","MARI","113","5035127.46872624","2312011.37665072","[00103, 00232]","[00103SC0010, 00103SC0011, 00103SC0102]"
"II0540","intersezioni","50.0000000000694","II0540","MADO","33","5035125.90899341","2311205.57971757","[00320, 232/1, 00159, 00517, 00187, II509]","[00320SC0018, 00320SC0019, 00320SC0020, 00320SC0029, 00187SC0006, 00187SC0007, 00187SC0008, 00187SC0013]"
"II0545","intersezioni","50.0000000002236","II0545","PEST","207","5035119.55008262","2312040.65076999","[00103, 00232]","[00103SC0011, 00103SC0012, 00103SC0023, 00103SC0103]"
"II0550","intersezioni","49.999999999993","II0550","BECA","1","5035116.92053305","2311323.4348479","[]","[]"
"II0555","intersezioni","50.0000000000165","II0555","","0","5035117.11050051","2311159.01325235","[]","[]"
"II0560","intersezioni","49.9999999996342","II0560","","580","5035113.47112391","2309984.96439067","[232/1, 00517]","[]"
"II0565","intersezioni","49.9999999999699","II0565","","89","5035107.62212577","2311789.2644247","[00103, 00232]","[00103SC0003, 00103SC0031]"
"II0575","intersezioni","49.9999999998015","II0575","","122","5035101.83311737","2312134.50112249","[00103, 00232]","[00103SC0021, 00103SC0023, 00103SC0024, 00103SC0104]"
"II0580","intersezioni","50.0000000001719","II0580","POLO","118","5035088.28543796","2311047.93652373","[232/1, 00102, 00517]","[00102SC0004, 00102SC0006, 00102SC0007, 00102SC0012]"
"II0585","intersezioni","49.9999999997181","II0585","FAVA","56","5035087.57555955","2311789.97360055","[00103, 00232]","[00103SC0006, 00103SC0029]"
"II0590","intersezioni","50.0000000000148","II0590","APON","21","5035082.27646724","2311272.05258392","[00003, 232/1, 00159, 00517, 00187, II509]","[00003SC0075, 00003SC0112, 00187SC0001, 00187SC0002, 00187SC0010, 00187SC0015]"
"II0595","intersezioni","50.0000000000299","II0595","TETT","54","5035070.82842817","2312167.56850792","[00103, 00232]","[00103SC0020, 00103SC0022, 00103SC0024, 00103SC0105]"
"II0600","intersezioni","49.9999999999297","II0600","MADO","50","5035065.66931188","2311236.23920365","[00320, 232/1, 00159, 00517, 00187, II509]","[00320SC0020, 00320SC0021, 00320SC0028, 00187SC0002, 00187SC0008, 00187SC0009, 00187SC0016]"
"II0605","intersezioni","49.9999999998534","II0605","STIN","4","5035061.36005002","2310935.73006149","[]","[]"
"II0610","intersezioni","49.9999999998843","II0610","CELE","2","5035059.61034972","2312768.53731449","[]","[]"
"II0615","intersezioni","50.0000000002901","II0615","LATE","157","5035048.34227983","2312312.07545609","[00136, 00232]","[00136SC0007, 00136SC0012, 00136SC0018]"
"II0620","intersezioni","49.9999999997983","II0620","PIOM","28","5035043.10317724","2311932.08914183","[00103, 00232]","[00103SC0006, 00103SC0007, 00103SC0030, 00103SC0107]"
"II0625","intersezioni","49.9999999999175","II0625","ZIRA","2","5035040.31365507","2310324.64312925","[]","[]"
